Name,YT Scope Project,
File,C:\Users\Banan\mas247\mas247_olje\StepResponsePlot.csv,
Starttime of export,133437580216110000,Monday, November 6, 2023,16:27:01.611
Endtime of export,133437583732510000,Monday, November 6, 2023,16:32:53.251


Name,Level_Transmitter_2,Name,Pressure_Differencial_Transmitter_1
SymbolComment,,SymbolComment,
Data-Type,INT16,Data-Type,INT16
SampleTime[ms],10,SampleTime[ms],10
VariableSize,2,VariableSize,2
SymbolBased,True,SymbolBased,True
IndexGroup,61472,IndexGroup,61472
IndexOffset,385156,IndexOffset,385160
SymbolName,MAIN.Level_Transmitter_2,SymbolName,MAIN.Pressure_Differencial_Transmitter_1
NetID,5.112.67.239.1.1,NetID,5.112.67.239.1.1
Port,851,Port,851
Offset,0,Offset,0
ScaleFactor,1,ScaleFactor,1
BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff
Unit,(None),Unit,(None)
Unit ScaleFactor,1,Unit ScaleFactor,1
Unit Offset,0,Unit Offset,0

2630,0,2630,2705
2640,0,2640,2706
2650,0,2650,2707
2660,0,2660,2707
2670,0,2670,2703
2680,0,2680,2706
2690,0,2690,2705
2700,0,2700,2698
2710,0,2710,2701
2720,0,2720,2699
2730,0,2730,2697
2740,0,2740,2703
2750,0,2750,2707
2760,0,2760,2705
2770,0,2770,2703
2780,0,2780,2705
2790,0,2790,2709
2800,0,2800,2706
2810,0,2810,2703
2820,0,2820,2702
2830,0,2830,2703
2840,0,2840,2706
2850,0,2850,2702
2860,0,2860,2702
2870,0,2870,2703
2880,0,2880,2702
2890,0,2890,2702
2900,0,2900,2703
2910,0,2910,2702
2920,0,2920,2706
2930,0,2930,2702
2940,0,2940,2695
2950,0,2950,2701
2960,0,2960,2701
2970,0,2970,2703
2980,0,2980,2705
2990,0,2990,2703
3000,0,3000,2706
3010,0,3010,2699
3020,0,3020,2699
3030,0,3030,2705
3040,0,3040,2705
3050,0,3050,2702
3060,0,3060,2701
3070,0,3070,2701
3080,0,3080,2705
3090,0,3090,2706
3100,0,3100,2702
3110,0,3110,2702
3120,0,3120,2701
3130,0,3130,2699
3140,0,3140,2701
3150,0,3150,2701
3160,0,3160,2705
3170,0,3170,2706
3180,0,3180,2701
3190,0,3190,2701
3200,0,3200,2702
3210,0,3210,2702
