 Percentages	SymbolComment		SymbolComment		SymbolComment		SymbolComment		SymbolComment		SymbolComment		SymbolComment		SymbolComment	 Motor switch_
Data-Type	INT16	Data-Type	INT16	Data-Type	INT16	Data-Type	INT16	Data-Type	INT16	Data-Type	INT16	Data-Type	INT16	Data-Type	INT16	Data-Type	BIT
SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10
VariableSize	2	VariableSize	2	VariableSize	2	VariableSize	2	VariableSize	2	VariableSize	2	VariableSize	2	VariableSize	2	VariableSize	1
SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True
IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	61488
IndexOffset	482800	IndexOffset	482802	IndexOffset	482806	IndexOffset	482808	IndexOffset	482810	IndexOffset	482812	IndexOffset	482814	IndexOffset	482804	IndexOffset	385148
SymbolName	MAIN.LT1percent	SymbolName	MAIN.LT2percent	SymbolName	MAIN.PDT1percent	SymbolName	MAIN.PDT2percent	SymbolName	MAIN.PT1percent	SymbolName	MAIN.PT2percent	SymbolName	MAIN.PT3percent	SymbolName	MAIN.TT1percent	SymbolName	MAIN.Motor_ON_OFF
NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1
Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851
Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0

360	127	360	0	360	1772	360	0	360	1239	360	114	360	0	360	7244	360	0
370	130	370	0	370	1771	370	0	370	1237	370	115	370	0	370	7234	370	0
380	133	380	0	380	1767	380	0	380	1240	380	117	380	0	380	7234	380	0
390	133	390	0	390	1772	390	0	390	1241	390	121	390	0	390	7243	390	0
400	135	400	0	400	1770	400	0	400	1243	400	121	400	0	400	7243	400	0
410	138	410	0	410	1766	410	0	410	1243	410	118	410	0	410	7240	410	0
420	138	420	0	420	1764	420	0	420	1241	420	117	420	0	420	7243	420	0
430	134	430	0	430	1764	430	0	430	1240	430	115	430	0	430	7247	430	0
440	134	440	0	440	1768	440	0	440	1239	440	117	440	0	440	7244	440	0
450	134	450	0	450	1768	450	0	450	1239	450	119	450	0	450	7243	450	0
460	130	460	0	460	1768	460	0	460	1237	460	119	460	0	460	7238	460	0
470	134	470	0	470	1771	470	0	470	1235	470	119	470	0	470	7237	470	0
480	134	480	0	480	1772	480	0	480	1239	480	118	480	0	480	7241	480	0
490	133	490	0	490	1768	490	0	490	1244	490	115	490	0	490	7244	490	0
500	134	500	0	500	1768	500	0	500	1245	500	114	500	0	500	7241	500	0
510	134	510	0	510	1770	510	0	510	1243	510	118	510	0	510	7241	510	0
520	137	520	0	520	1770	520	0	520	1243	520	122	520	0	520	7245	520	0
530	141	530	0	530	1771	530	0	530	1244	530	123	530	0	530	7243	530	0
540	141	540	0	540	1770	540	0	540	1243	540	121	540	0	540	7243	540	0
550	138	550	0	550	1771	550	0	550	1240	550	117	550	0	550	7241	550	0
560	135	560	0	560	1770	560	0	560	1240	560	115	560	0	560	7237	560	0
570	134	570	0	570	1767	570	0	570	1240	570	117	570	0	570	7238	570	0
580	138	580	0	580	1772	580	0	580	1237	580	117	580	0	580	7241	580	0
590	140	590	0	590	1771	590	0	590	1237	590	118	590	0	590	7240	590	0
600	135	600	0	600	1768	600	0	600	1236	600	121	600	0	600	7237	600	0
610	131	610	0	610	1768	610	0	610	1237	610	121	610	0	610	7238	610	0
620	130	620	0	620	1768	620	0	620	1243	620	118	620	0	620	7238	620	0
630	131	630	0	630	1768	630	0	630	1241	630	113	630	0	630	7237	630	0
640	135	640	0	640	1771	640	0	640	1237	640	115	640	0	640	7240	640	0
650	135	650	0	650	1772	650	0	650	1240	650	118	650	0	650	7244	650	0
660	130	660	0	660	1768	660	0	660	1245	660	118	660	0	660	7241	660	0
670	134	670	0	670	1768	670	0	670	1245	670	118	670	0	670	7237	670	0
680	137	680	0	680	1768	680	0	680	1243	680	114	680	0	680	7240	680	0
690	133	690	0	690	1768	690	0	690	1244	690	117	690	0	690	7247	690	0
700	134	700	0	700	1768	700	0	700	1244	700	119	700	0	700	7248	700	0
710	137	710	0	710	1771	710	0	710	1240	710	118	710	0	710	7241	710	0
720	137	720	0	720	1772	720	0	720	1239	720	118	720	0	720	7241	720	0
730	135	730	0	730	1770	730	0	730	1243	730	118	730	0	730	7243	730	0
