 Percentages	SymbolComment		SymbolComment		SymbolComment		SymbolComment		SymbolComment		SymbolComment		SymbolComment	
Data-Type	INT16	Data-Type	INT16	Data-Type	INT16	Data-Type	INT16	Data-Type	INT16	Data-Type	INT16	Data-Type	INT16	Data-Type	INT16
SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10
VariableSize	2	VariableSize	2	VariableSize	2	VariableSize	2	VariableSize	2	VariableSize	2	VariableSize	2	VariableSize	2
SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True
IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448
IndexOffset	482800	IndexOffset	482802	IndexOffset	482806	IndexOffset	482808	IndexOffset	482810	IndexOffset	482812	IndexOffset	482814	IndexOffset	482804
SymbolName	MAIN.LT1percent	SymbolName	MAIN.LT2percent	SymbolName	MAIN.PDT1percent	SymbolName	MAIN.PDT2percent	SymbolName	MAIN.PT1percent	SymbolName	MAIN.PT2percent	SymbolName	MAIN.PT3percent	SymbolName	MAIN.TT1percent
NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1
Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851
Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0

460	137	460	0	460	1763	460	0	460	1247	460	117	460	0	460	7243
470	137	470	0	470	1764	470	0	470	1245	470	115	470	0	470	7243
480	133	480	0	480	1766	480	0	480	1244	480	117	480	0	480	7245
490	135	490	0	490	1764	490	0	490	1247	490	122	490	0	490	7251
500	135	500	0	500	1762	500	0	500	1248	500	121	500	0	500	7252
510	131	510	0	510	1759	510	0	510	1247	510	117	510	0	510	7245
520	131	520	0	520	1762	520	0	520	1245	520	118	520	0	520	7244
530	127	530	0	530	1760	530	0	530	1243	530	118	530	0	530	7245
540	130	540	0	540	1759	540	0	540	1245	540	122	540	0	540	7241
550	131	550	0	550	1760	550	0	550	1248	550	121	550	0	550	7244
560	134	560	0	560	1762	560	0	560	1247	560	118	560	0	560	7249
570	137	570	0	570	1763	570	0	570	1245	570	121	570	0	570	7245
580	135	580	0	580	1763	580	0	580	1247	580	121	580	0	580	7244
590	137	590	0	590	1763	590	0	590	1248	590	119	590	0	590	7245
600	138	600	0	600	1768	600	0	600	1243	600	119	600	0	600	7245
610	138	610	0	610	1767	610	0	610	1243	610	119	610	0	610	7248
620	134	620	0	620	1763	620	0	620	1247	620	119	620	0	620	7243
630	133	630	0	630	1767	630	0	630	1249	630	119	630	0	630	7241
640	134	640	0	640	1767	640	0	640	1249	640	119	640	0	640	7244
650	134	650	0	650	1764	650	0	650	1247	650	121	650	0	650	7243
660	137	660	0	660	1768	660	0	660	1245	660	118	660	0	660	7240
670	141	670	0	670	1768	670	0	670	1241	670	117	670	0	670	7244
680	134	680	0	680	1764	680	0	680	1243	680	119	680	0	680	7243
690	130	690	0	690	1764	690	0	690	1247	690	121	690	0	690	7241
700	131	700	0	700	1763	700	0	700	1245	700	119	700	0	700	7241
710	131	710	0	710	1763	710	0	710	1247	710	119	710	0	710	7243
720	130	720	0	720	1763	720	0	720	1245	720	119	720	0	720	7244
730	133	730	0	730	1766	730	0	730	1245	730	117	730	0	730	7244
740	133	740	0	740	1767	740	0	740	1245	740	119	740	0	740	7244
750	133	750	0	750	1764	750	0	750	1245	750	119	750	0	750	7245
760	133	760	0	760	1766	760	0	760	1248	760	114	760	0	760	7243
770	135	770	0	770	1768	770	0	770	1244	770	117	770	0	770	7240
780	138	780	0	780	1768	780	0	780	1240	780	119	780	0	780	7241
790	133	790	0	790	1771	790	0	790	1241	790	115	790	0	790	7240
800	137	800	0	800	1767	800	0	800	1240	800	115	800	0	800	7241
810	138	810	0	810	1764	810	0	810	1244	810	117	810	0	810	7243
820	137	820	0	820	1770	820	0	820	1245	820	118	820	0	820	7243
830	137	830	0	830	1767	830	0	830	1243	830	119	830	0	830	7244
840	138	840	0	840	1763	840	0	840	1245	840	121	840	0	840	7243
850	135	850	0	850	1766	850	0	850	1247	850	122	850	0	850	7241
860	138	860	0	860	1767	860	0	860	1244	860	122	860	0	860	7243
870	140	870	0	870	1762	870	0	870	1244	870	118	870	0	870	7244
880	134	880	0	880	1762	880	0	880	1245	880	115	880	0	880	7243
890	131	890	0	890	1767	890	0	890	1247	890	115	890	0	890	7244
900	133	900	0	900	1770	900	0	900	1244	900	118	900	0	900	7244
910	137	910	0	910	1770	910	0	910	1241	910	119	910	0	910	7243
920	135	920	0	920	1767	920	0	920	1244	920	117	920	0	920	7241
930	135	930	0	930	1760	930	0	930	1245	930	115	930	0	930	7240
940	133	940	0	940	1759	940	0	940	1244	940	117	940	0	940	7240
950	127	950	0	950	1764	950	0	950	1244	950	117	950	0	950	7238
960	131	960	0	960	1762	960	0	960	1245	960	117	960	0	960	7240
970	135	970	0	970	1762	970	0	970	1247	970	119	970	0	970	7240
980	135	980	0	980	1767	980	0	980	1245	980	117	980	0	980	7245
990	133	990	0	990	1764	990	0	990	1240	990	117	990	0	990	7247
1000	135	1000	0	1000	1763	1000	0	1000	1241	1000	118	1000	0	1000	7243
1010	140	1010	0	1010	1763	1010	0	1010	1245	1010	118	1010	0	1010	7244
1020	133	1020	0	1020	1764	1020	0	1020	1248	1020	119	1020	0	1020	7243
1030	138	1030	0	1030	1762	1030	0	1030	1248	1030	122	1030	0	1030	7243
1040	145	1040	0	1040	1759	1040	0	1040	1245	1040	121	1040	0	1040	7243
1050	135	1050	0	1050	1762	1050	0	1050	1248	1050	115	1050	0	1050	7244
1060	134	1060	0	1060	1764	1060	0	1060	1247	1060	114	1060	0	1060	7248
1070	137	1070	0	1070	1764	1070	0	1070	1243	1070	115	1070	0	1070	7247
1080	137	1080	0	1080	1764	1080	0	1080	1241	1080	118	1080	0	1080	7245
1090	138	1090	0	1090	1760	1090	0	1090	1243	1090	123	1090	0	1090	7249
1100	141	1100	0	1100	1760	1100	0	1100	1245	1100	122	1100	0	1100	7248
1110	141	1110	0	1110	1766	1110	0	1110	1243	1110	122	1110	0	1110	7243
1120	137	1120	0	1120	1766	1120	0	1120	1243	1120	121	1120	0	1120	7241
1130	137	1130	0	1130	1762	1130	0	1130	1247	1130	114	1130	0	1130	7241
1140	138	1140	0	1140	1760	1140	0	1140	1244	1140	114	1140	0	1140	7244
1150	137	1150	0	1150	1759	1150	0	1150	1237	1150	119	1150	0	1150	7244
1160	138	1160	0	1160	1763	1160	0	1160	1240	1160	117	1160	0	1160	7240
1170	137	1170	0	1170	1766	1170	0	1170	1245	1170	114	1170	0	1170	7240
1180	137	1180	0	1180	1760	1180	0	1180	1249	1180	117	1180	0	1180	7243
1190	134	1190	0	1190	1759	1190	0	1190	1247	1190	119	1190	0	1190	7244
1200	131	1200	0	1200	1759	1200	0	1200	1244	1200	118	1200	0	1200	7245
1210	130	1210	0	1210	1763	1210	0	1210	1245	1210	118	1210	0	1210	7244
1220	130	1220	0	1220	1768	1220	0	1220	1247	1220	125	1220	0	1220	7245
1230	133	1230	0	1230	1767	1230	0	1230	1248	1230	122	1230	0	1230	7248
1240	134	1240	0	1240	1764	1240	0	1240	1249	1240	117	1240	0	1240	7247
1250	135	1250	0	1250	1764	1250	0	1250	1248	1250	118	1250	0	1250	7247
1260	134	1260	0	1260	1764	1260	0	1260	1245	1260	121	1260	0	1260	7243
1270	135	1270	0	1270	1766	1270	0	1270	1244	1270	114	1270	0	1270	7241
1280	133	1280	0	1280	1762	1280	0	1280	1243	1280	110	1280	0	1280	7244
1290	133	1290	0	1290	1759	1290	0	1290	1244	1290	115	1290	0	1290	7245
1300	130	1300	0	1300	1758	1300	0	1300	1245	1300	118	1300	0	1300	7244
1310	126	1310	0	1310	1759	1310	0	1310	1247	1310	118	1310	0	1310	7244
1320	133	1320	0	1320	1763	1320	0	1320	1247	1320	114	1320	0	1320	7244
1330	138	1330	0	1330	1763	1330	0	1330	1248	1330	117	1330	0	1330	7245
1340	134	1340	0	1340	1764	1340	0	1340	1245	1340	121	1340	0	1340	7248
1350	130	1350	0	1350	1767	1350	0	1350	1240	1350	118	1350	0	1350	7245
1360	133	1360	0	1360	1767	1360	0	1360	1245	1360	114	1360	0	1360	7243
1370	135	1370	0	1370	1764	1370	0	1370	1247	1370	114	1370	0	1370	7243
