Name,Tank2DataThursday,
File,C:\Users\Banan\Documents\Systemmodell Tank IndustriellIT\Tank2InnUtData.csv,
Starttime of export,133446110914130000,Thursday, November 16, 2023,13:24:51.413
Endtime of export,133446112326030000,Thursday, November 16, 2023,13:27:12.603


Name,Level_Valve_2_Percentage,Name,LT2mm
SymbolComment,,SymbolComment,
Data-Type,INT16,Data-Type,REAL32
SampleTime[ms],10,SampleTime[ms],10
VariableSize,2,VariableSize,4
SymbolBased,True,SymbolBased,True
IndexGroup,16448,IndexGroup,16448
IndexOffset,413098,IndexOffset,412856
SymbolName,MAIN.Level_Valve_2_Percentage,SymbolName,MAIN.LT2mm
NetID,5.112.67.239.1.1,NetID,5.112.67.239.1.1
Port,851,Port,851
Offset,0,Offset,0
ScaleFactor,1,ScaleFactor,1
BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff
Unit,(None),Unit,(None)
Unit ScaleFactor,1,Unit ScaleFactor,1
Unit Offset,0,Unit Offset,0

2350,0,2350,115.576591
2360,0,2360,115.582474
2370,0,2370,115.558929
2380,0,2380,115.547157
2390,0,2390,115.547157
2400,0,2400,115.5707
2410,0,2410,115.558929
2420,0,2420,115.511841
2430,0,2430,115.523613
2440,0,2440,115.553047
2450,0,2450,115.547157
2460,0,2460,115.5295
2470,0,2470,115.523613
2480,0,2480,115.535385
2490,0,2490,115.547157
2500,0,2500,115.535385
2510,0,2510,115.5707
2520,0,2520,115.582474
2530,0,2530,115.576591
2540,0,2540,115.553047
2550,0,2550,115.553047
2560,0,2560,115.576591
2570,0,2570,115.558929
2580,0,2580,115.547157
2590,0,2590,115.5295
2600,0,2600,115.523613
2610,0,2610,115.535385
2620,0,2620,115.558929
2630,0,2630,115.553047
2640,0,2640,115.5295
2650,0,2650,115.535385
2660,0,2660,115.511841
2670,0,2670,115.535385
2680,0,2680,115.558929
2690,0,2690,115.547157
2700,0,2700,115.558929
2710,0,2710,115.5707
2720,0,2720,115.5707
2730,0,2730,115.535385
2740,0,2740,115.5295
2750,0,2750,115.535385
2760,0,2760,115.558929
2770,0,2770,115.582474
2780,0,2780,115.558929
2790,0,2790,115.547157
2800,0,2800,115.547157
2810,0,2810,115.547157
2820,10,2820,115.553047
2830,10,2830,115.553047
2840,10,2840,115.547157
2850,10,2850,115.547157
2860,10,2860,115.5707
